report_date,campaign,impressions_count,link_clicks,amount_spent_usd
02/15/2024,Summer Sale '24,13802,518,816.95
02/16/2024,Summer Sale '24,8478,262,293.19
02/17/2024,Summer Sale '24,16795,684,1923.7
02/18/2024,Summer Sale '24,14899,295,352.27
02/19/2024,Summer Sale '24,11203,318,207.32
02/20/2024,Summer Sale '24,17690,666,381.27
02/21/2024,Summer Sale '24,13396,470,288.47
02/22/2024,Summer Sale '24,16945,162,304.9
02/23/2024,Summer Sale '24,17805,270,629.07
02/24/2024,Summer Sale '24,16955,796,372.58
02/25/2024,Summer Sale '24,2890,84,186.0
02/26/2024,Summer Sale '24,13853,396,1038.63
02/27/2024,Summer Sale '24,12056,406,412.89
02/28/2024,Summer Sale '24,15097,526,793.92
02/29/2024,Summer Sale '24,15137,612,513.52
03/01/2024,Summer Sale '24,11958,420,527.21
03/02/2024,Summer Sale '24,15532,297,604.09
03/03/2024,Summer Sale '24,5427,123,268.27
03/04/2024,Summer Sale '24,6682,317,350.38
03/05/2024,Summer Sale '24,11221,145,137.71
03/06/2024,Summer Sale '24,7480,347,1037.17
03/07/2024,Summer Sale '24,16199,523,1565.82
03/08/2024,Summer Sale '24,2388,102,201.5
03/09/2024,Summer Sale '24,12722,413,402.12
03/10/2024,Summer Sale '24,3609,48,125.98
03/11/2024,Summer Sale '24,3671,80,208.35
03/12/2024,Summer Sale '24,16647,771,869.72
03/13/2024,Summer Sale '24,16174,332,331.33
03/14/2024,Summer Sale '24,14032,407,439.2
03/15/2024,Summer Sale '24,13534,526,1021.54
03/16/2024,Summer Sale '24,7614,334,877.67
03/17/2024,Summer Sale '24,928,45,125.96
03/18/2024,Summer Sale '24,7528,281,755.76
03/19/2024,Summer Sale '24,17886,568,545.36
03/20/2024,Summer Sale '24,6383,84,118.1
03/21/2024,Summer Sale '24,14124,507,567.31
03/22/2024,Summer Sale '24,3164,28,19.95
03/23/2024,Summer Sale '24,16758,548,682.32
09/29/2024,Back To School Promo,14565,623,1043.42
09/30/2024,Back To School Promo,14753,475,584.5
10/01/2024,Back To School Promo,17645,424,409.07
10/02/2024,Back To School Promo,3802,94,155.7
10/03/2024,Back To School Promo,6244,116,242.44
10/04/2024,Back To School Promo,15320,632,738.26
10/05/2024,Back To School Promo,13071,517,1358.02
10/06/2024,Back To School Promo,6065,107,199.76
10/07/2024,Back To School Promo,15251,414,511.07
10/08/2024,Back To School Promo,6818,244,266.65
10/09/2024,Back To School Promo,9645,199,315.89
10/10/2024,Back To School Promo,8948,218,476.76
10/11/2024,Back To School Promo,5014,221,471.04
10/12/2024,Back To School Promo,9760,266,419.44
10/13/2024,Back To School Promo,6260,171,412.07
10/14/2024,Back To School Promo,8152,163,267.07
10/15/2024,Back To School Promo,5145,60,82.78
10/16/2024,Back To School Promo,17891,649,1166.44
10/17/2024,Back To School Promo,14102,435,467.07
10/18/2024,Back To School Promo,8182,196,483.9
10/19/2024,Back To School Promo,14281,678,1647.87
10/20/2024,Back To School Promo,8713,230,322.48
10/21/2024,Back To School Promo,11448,244,111.83
10/22/2024,Back To School Promo,7784,265,604.99
10/23/2024,Back To School Promo,1988,22,44.93
10/24/2024,Back To School Promo,13068,137,166.92
10/25/2024,Back To School Promo,2344,47,68.72
10/26/2024,Back To School Promo,2410,81,166.45
10/27/2024,Back To School Promo,9888,242,531.17
10/28/2024,Back To School Promo,6903,207,297.2
10/29/2024,Back To School Promo,13630,510,589.79
10/30/2024,Back To School Promo,421,7,6.76
10/31/2024,Back To School Promo,7773,133,282.3
11/01/2024,Back To School Promo,1030,34,82.15
11/02/2024,Back To School Promo,5305,204,515.88
11/03/2024,Back To School Promo,10124,189,514.71
11/04/2024,Back To School Promo,11419,344,304.2
11/05/2024,Back To School Promo,15023,349,739.25
11/06/2024,Back To School Promo,5727,206,146.95
11/07/2024,Back To School Promo,12790,198,506.77
11/08/2024,Back To School Promo,2183,35,44.11
11/09/2024,Back To School Promo,7399,186,231.61
11/10/2024,Back To School Promo,3657,134,244.73
11/11/2024,Back To School Promo,15247,149,251.43
11/12/2024,Back To School Promo,3417,111,312.65
11/13/2024,Back To School Promo,15648,496,528.19
11/14/2024,Back To School Promo,759,21,56.88
09/09/2024,Black Friday Blast!!,7948,99,194.05
09/10/2024,Black Friday Blast!!,4302,102,260.9
09/11/2024,Black Friday Blast!!,13387,180,342.73
09/12/2024,Black Friday Blast!!,8264,266,637.6
09/13/2024,Black Friday Blast!!,8428,117,96.15
09/14/2024,Black Friday Blast!!,17057,313,366.03
09/15/2024,Black Friday Blast!!,4772,170,275.66
09/16/2024,Black Friday Blast!!,12179,296,504.54
09/17/2024,Black Friday Blast!!,8434,340,966.61
09/18/2024,Black Friday Blast!!,4651,103,289.98
09/19/2024,Black Friday Blast!!,3834,82,72.55
09/20/2024,Black Friday Blast!!,12913,496,742.1
09/21/2024,Black Friday Blast!!,13257,440,408.84
09/22/2024,Black Friday Blast!!,14875,388,1058.35
09/23/2024,Black Friday Blast!!,16075,781,417.99
09/24/2024,Black Friday Blast!!,3697,156,283.22
09/25/2024,Black Friday Blast!!,11499,571,1637.75
09/26/2024,Black Friday Blast!!,8456,275,759.04
09/27/2024,Black Friday Blast!!,13940,272,706.11
07/16/2024,New Year Kickoff Campaign,2592,25,56.58
07/17/2024,New Year Kickoff Campaign,7707,232,642.19
07/18/2024,New Year Kickoff Campaign,13536,485,1409.43
07/19/2024,New Year Kickoff Campaign,11433,499,1294.03
07/20/2024,New Year Kickoff Campaign,13167,471,755.66
07/21/2024,New Year Kickoff Campaign,2592,76,66.44
07/22/2024,New Year Kickoff Campaign,5373,116,127.04
07/23/2024,New Year Kickoff Campaign,6515,217,136.97
07/24/2024,New Year Kickoff Campaign,17914,477,310.39
07/25/2024,New Year Kickoff Campaign,1674,43,78.91
07/26/2024,New Year Kickoff Campaign,16634,776,989.15
07/27/2024,New Year Kickoff Campaign,10443,272,166.6
07/28/2024,New Year Kickoff Campaign,16692,274,688.65
07/29/2024,New Year Kickoff Campaign,11781,116,117.73
07/30/2024,New Year Kickoff Campaign,4546,83,207.16
07/31/2024,New Year Kickoff Campaign,13972,445,576.14
08/01/2024,New Year Kickoff Campaign,3104,103,301.12
02/07/2024,spring clearance,14260,677,882.21
02/08/2024,spring clearance,16575,467,235.01
02/09/2024,spring clearance,4284,150,356.91
02/10/2024,spring clearance,10787,158,454.0
02/11/2024,spring clearance,16474,582,1158.09
02/12/2024,spring clearance,4250,146,272.88
02/13/2024,spring clearance,1483,30,65.09
