date,campaign_name,impressions,clicks,cost
2024-04-10,Summer Sale 2024,5414,324,456.21
2024-04-11,Summer Sale 2024,3110,147,206.65
2024-04-12,Summer Sale 2024,12022,670,2188.89
2024-04-13,Summer Sale 2024,15965,591,983.25
2024-04-14,Summer Sale 2024,13795,357,1198.47
2024-04-15,Summer Sale 2024,18004,875,543.99
2024-04-16,Summer Sale 2024,8929,107,127.53
2024-04-17,Summer Sale 2024,976,37,111.51
2024-04-18,Summer Sale 2024,2219,64,49.01
2024-04-19,Summer Sale 2024,14531,287,801.84
2024-04-20,Summer Sale 2024,13947,258,384.65
2024-04-21,Summer Sale 2024,772,11,36.31
2024-04-22,Summer Sale 2024,10675,280,660.02
2024-04-23,Summer Sale 2024,8379,279,844.48
2024-04-24,Summer Sale 2024,7743,197,194.27
2024-04-25,Summer Sale 2024,7360,184,163.86
2024-04-26,Summer Sale 2024,14102,723,1632.23
2024-04-27,Summer Sale 2024,4005,120,296.73
2024-04-28,Summer Sale 2024,3084,70,206.37
2024-04-29,Summer Sale 2024,9041,225,294.65
2024-04-30,Summer Sale 2024,3249,129,370.38
2024-05-01,Summer Sale 2024,16778,576,1120.08
2024-05-02,Summer Sale 2024,18478,513,689.27
2024-05-03,Summer Sale 2024,13354,506,970.09
2024-05-04,Summer Sale 2024,6214,259,173.88
2024-06-30,Back to School Promo,14216,371,578.71
2024-07-01,Back to School Promo,627,7,18.46
2024-07-02,Back to School Promo,7055,243,463.26
2024-07-03,Back to School Promo,10050,577,990.55
2024-07-04,Back to School Promo,16559,338,1121.66
2024-07-05,Back to School Promo,8617,165,185.81
2024-07-06,Back to School Promo,11840,382,932.59
2024-07-07,Back to School Promo,835,37,23.84
2024-07-08,Back to School Promo,3726,148,186.95
2024-07-09,Back to School Promo,16231,333,834.65
2024-07-10,Back to School Promo,4481,139,187.04
2024-07-11,Back to School Promo,7239,359,209.77
2024-07-12,Back to School Promo,7750,259,569.36
2024-07-13,Back to School Promo,7211,354,204.72
2024-07-14,Back to School Promo,14867,351,624.33
2024-07-15,Back to School Promo,14494,542,1886.42
2024-07-16,Back to School Promo,11162,154,464.15
2024-07-17,Back to School Promo,4968,157,90.31
2024-07-18,Back to School Promo,18058,836,2060.65
2024-07-19,Back to School Promo,9333,439,1144.54
2024-07-20,Back to School Promo,2099,111,388.02
2024-07-21,Back to School Promo,18660,251,532.37
2024-07-22,Back to School Promo,8431,387,780.21
2024-07-23,Back to School Promo,3165,37,66.08
2024-07-24,Back to School Promo,955,48,96.36
2024-07-25,Back to School Promo,7855,180,163.35
2024-07-26,Back to School Promo,19225,914,2376.91
2024-07-27,Back to School Promo,18173,650,2258.94
2024-07-28,Back to School Promo,9261,343,235.85
2024-07-29,Back to School Promo,16043,602,875.93
2024-07-30,Back to School Promo,4482,160,368.47
2024-07-31,Back to School Promo,1820,75,252.93
2024-08-01,Back to School Promo,10391,141,457.41
2024-08-02,Back to School Promo,3533,120,315.62
2024-08-03,Back to School Promo,15131,343,253.33
2024-02-02,Black Friday Blast,18445,316,620.05
2024-02-03,Black Friday Blast,1615,43,75.3
2024-02-04,Black Friday Blast,4237,57,39.73
2024-02-05,Black Friday Blast,19663,1171,951.19
2024-02-06,Black Friday Blast,10430,615,1666.93
2024-02-07,Black Friday Blast,7497,362,1202.77
2024-02-08,Black Friday Blast,13458,624,1916.8
2024-02-09,Black Friday Blast,5118,301,586.76
2024-02-10,Black Friday Blast,11903,403,1131.63
2024-02-11,Black Friday Blast,9164,423,960.15
2024-02-12,Black Friday Blast,11416,643,511.41
2024-02-13,Black Friday Blast,2054,78,182.42
2024-02-14,Black Friday Blast,11155,478,893.4
2024-02-15,Black Friday Blast,9254,364,470.4
2024-02-16,Black Friday Blast,16171,958,2377.13
2024-02-17,Black Friday Blast,8055,126,295.75
2024-02-18,Black Friday Blast,4895,128,236.21
2024-02-19,Black Friday Blast,17648,666,676.18
2024-02-20,Black Friday Blast,13830,212,613.38
2024-02-21,Black Friday Blast,8899,458,1513.42
2024-02-22,Black Friday Blast,3492,125,311.91
2024-02-23,Black Friday Blast,2303,98,49.82
2024-02-24,Black Friday Blast,19820,928,635.54
2024-02-25,Black Friday Blast,7235,159,342.27
2024-02-26,Black Friday Blast,12519,421,1465.76
2024-02-27,Black Friday Blast,11261,397,857.07
2024-02-28,Black Friday Blast,12192,576,968.77
2024-02-29,Black Friday Blast,8657,89,235.04
2024-03-01,Black Friday Blast,10314,607,2001.23
2024-03-02,Black Friday Blast,13616,323,923.31
2024-03-03,Black Friday Blast,19692,815,2279.98
2024-03-04,Black Friday Blast,9895,513,786.78
2024-03-05,Black Friday Blast,10902,186,254.6
2024-03-06,Black Friday Blast,3676,119,107.07
2024-03-07,Black Friday Blast,10599,542,487.88
2024-03-08,Black Friday Blast,12096,390,457.67
2024-03-09,Black Friday Blast,13111,479,1401.58
2024-03-10,Black Friday Blast,9106,214,599.39
2024-03-11,Black Friday Blast,14367,171,293.83
2024-03-12,Black Friday Blast,17275,973,1357.83
2024-03-13,Black Friday Blast,3648,162,240.9
2024-03-14,Black Friday Blast,7561,348,1078.48
2024-03-15,Black Friday Blast,5957,258,637.55
2024-03-16,Black Friday Blast,10228,482,580.27
2024-06-28,New Year Kickoff,17652,235,503.89
2024-06-29,New Year Kickoff,2946,141,458.08
2024-06-30,New Year Kickoff,13949,232,454.72
2024-07-01,New Year Kickoff,19617,896,1317.18
2024-07-02,New Year Kickoff,19893,1088,3154.88
2024-07-03,New Year Kickoff,15604,433,768.51
2024-07-04,New Year Kickoff,9988,287,802.95
2024-07-05,New Year Kickoff,10825,149,308.34
2024-07-06,New Year Kickoff,14184,452,845.21
2024-07-07,New Year Kickoff,10028,327,633.73
2024-07-08,New Year Kickoff,19437,243,290.93
2024-07-09,New Year Kickoff,12572,250,198.51
2024-07-10,New Year Kickoff,3049,56,144.67
2024-07-11,New Year Kickoff,7656,362,1247.61
2024-07-12,New Year Kickoff,17484,776,695.98
2024-07-13,New Year Kickoff,17527,922,2286.54
2024-07-14,New Year Kickoff,7290,351,540.06
2024-07-15,New Year Kickoff,3754,91,94.14
2024-07-16,New Year Kickoff,11496,302,944.77
2024-07-17,New Year Kickoff,8417,485,1090.04
2024-07-18,New Year Kickoff,6092,136,323.09
2024-07-19,New Year Kickoff,18515,197,567.46
2024-07-20,New Year Kickoff,11817,495,517.38
2024-07-21,New Year Kickoff,13964,333,1055.36
2024-07-22,New Year Kickoff,9573,185,454.38
2024-07-23,New Year Kickoff,13349,338,329.81
2024-07-24,New Year Kickoff,17071,263,391.86
2024-07-25,New Year Kickoff,11910,412,245.98
2024-07-26,New Year Kickoff,10002,323,539.39
2024-07-27,New Year Kickoff,17929,402,862.63
2024-07-28,New Year Kickoff,6988,400,588.88
2024-07-29,New Year Kickoff,10483,540,687.14
2024-07-30,New Year Kickoff,519,9,19.8
2024-07-31,New Year Kickoff,5569,119,285.78
2024-08-01,New Year Kickoff,4270,228,466.3
2024-08-02,New Year Kickoff,3998,178,327.29
2024-08-03,New Year Kickoff,8438,448,1067.81
2024-08-04,New Year Kickoff,1897,35,40.34
2024-08-05,New Year Kickoff,12661,427,810.22
2024-02-26,Spring Clearance,8151,153,119.2
2024-02-27,Spring Clearance,3745,130,388.27
2024-02-28,Spring Clearance,8507,492,1405.68
2024-02-29,Spring Clearance,6128,68,200.26
2024-03-01,Spring Clearance,19780,249,847.94
2024-03-02,Spring Clearance,9484,395,1037.88
2024-03-03,Spring Clearance,7084,86,122.8
2024-03-04,Spring Clearance,16912,686,2168.14
2024-03-05,Spring Clearance,10778,635,982.36
2024-03-06,Spring Clearance,966,32,45.38
2024-03-07,Spring Clearance,14580,243,235.87
2024-03-08,Spring Clearance,1893,61,160.76
2024-03-09,Spring Clearance,3266,38,106.75
2024-03-10,Spring Clearance,18832,461,983.57
2024-03-11,Spring Clearance,16432,836,2516.71
2024-03-12,Spring Clearance,9067,287,726.25
2024-03-13,Spring Clearance,12268,543,408.17
2024-03-14,Spring Clearance,16677,187,359.2
2024-03-15,Spring Clearance,11791,178,508.0
2024-03-16,Spring Clearance,14801,227,668.73
2024-03-17,Spring Clearance,12920,592,1971.51
2024-03-18,Spring Clearance,3682,166,152.55
2024-03-19,Spring Clearance,8035,422,658.67
2024-03-20,Spring Clearance,17968,1026,3326.16
2024-03-21,Spring Clearance,11209,203,361.68
2024-03-22,Spring Clearance,11149,282,229.37
2024-03-23,Spring Clearance,5346,251,277.58
2024-03-24,Spring Clearance,614,20,13.27
2024-03-25,Spring Clearance,19433,360,688.4
2024-03-26,Spring Clearance,666,36,72.63
2024-03-27,Spring Clearance,8930,176,256.52
2024-03-28,Spring Clearance,12770,499,1523.26
2024-03-29,Spring Clearance,15579,249,432.63
2024-03-30,Spring Clearance,12345,644,1647.71
2024-03-31,Spring Clearance,7209,214,566.88
2024-04-01,Spring Clearance,15565,713,1460.87
2024-04-02,Spring Clearance,8357,465,318.39
2024-04-03,Spring Clearance,15916,565,1281.65
2024-04-04,Spring Clearance,18506,583,1562.56
2024-04-05,Spring Clearance,17636,270,812.39
2024-04-06,Spring Clearance,11118,288,189.75
2024-04-07,Spring Clearance,19246,744,2112.66
2024-04-08,Spring Clearance,7149,126,306.91
2024-04-09,Spring Clearance,6740,365,1090.43
2024-04-10,Spring Clearance,14233,786,890.67
2024-04-11,Spring Clearance,19205,1027,3242.57
2024-04-12,Spring Clearance,9555,495,1211.88
2024-04-13,Spring Clearance,16945,333,464.67
2024-04-14,Spring Clearance,11521,461,1051.35
2024-04-15,Spring Clearance,9045,298,158.86
2024-04-16,Spring Clearance,6160,332,864.23
2024-03-09,Loyalty Rewards Push,13018,320,276.83
2024-03-10,Loyalty Rewards Push,1879,44,94.96
2024-03-11,Loyalty Rewards Push,6084,191,614.55
2024-03-12,Loyalty Rewards Push,1355,78,88.97
2024-03-13,Loyalty Rewards Push,7891,340,343.27
2024-03-14,Loyalty Rewards Push,8721,431,418.56
2024-03-15,Loyalty Rewards Push,3273,97,68.92
2024-03-16,Loyalty Rewards Push,7622,270,802.52
2024-03-17,Loyalty Rewards Push,17203,967,2604.0
2024-03-18,Loyalty Rewards Push,16469,871,2052.5
2024-03-19,Loyalty Rewards Push,7683,296,770.0
2024-03-20,Loyalty Rewards Push,7260,402,1346.48
2024-03-21,Loyalty Rewards Push,17047,936,2978.55
2024-03-22,Loyalty Rewards Push,2005,72,90.96
2024-03-23,Loyalty Rewards Push,2921,41,92.46
2024-03-24,Loyalty Rewards Push,19088,557,1288.81
2024-03-25,Loyalty Rewards Push,2401,35,51.75
2024-03-26,Loyalty Rewards Push,15911,728,2159.75
2024-03-27,Loyalty Rewards Push,19416,276,310.99
