campaign,google_cost,google_impressions,google_clicks,facebook_cost,facebook_impressions,facebook_clicks,crm_revenue,crm_conversion_count
New Year Kickoff,26361.64,428413,13546,7924.19,159675,4710,7869.11,23
Product Launch - Aurora,18184.15,247014,9470,13333.31,253371,7127,12850.47,31
Referral Program Boost,32863.74,469942,16688,12026.34,271741,7526,25645.32,61
Back to School Promo,22199.55,328543,10553,19392.27,417012,11683,20505.15,50
unknown,0,0,0,0,0,0,1007.69,4
Spring Clearance,43190.58,565894,18978,23617.06,478664,14265,15204.05,33
Summer Sale 2024,14704.62,232146,7789,20297.50,438662,13711,12292.26,29
Loyalty Rewards Push,25537.66,333240,12225,17658.51,356932,10098,18670.53,52
organic,0,0,0,0,0,0,1606.48,4
Flash Sale Weekend,37111.30,530512,18184,15292.00,298604,8831,4619.30,15
referal - freind,0,0,0,0,0,0,730.48,2
N/A,0,0,0,0,0,0,727.96,2
direct,0,0,0,0,0,0,2014.67,6
Holiday Gift Guide,35903.74,523018,17758,22244.70,408069,12095,15953.77,40
walk-in,0,0,0,0,0,0,2717.05,7
Black Friday Blast,35275.54,454429,17801,10020.20,187968,5447,7756.02,20
